,Date,Date_YMD,Status,States,value
295,20-Jun-20,2020-06-20,Recovered,Andaman and Nicobar,0
296,20-Jun-20,2020-06-20,Deceased,Andaman and Nicobar,0
297,21-Jun-20,2020-06-21,Confirmed,Andaman and Nicobar,1
298,21-Jun-20,2020-06-21,Recovered,Andaman and Nicobar,2
299,21-Jun-20,2020-06-21,Deceased,Andaman and Nicobar,0
300,22-Jun-20,2020-06-22,Confirmed,Andaman and Nicobar,0
301,22-Jun-20,2020-06-22,Recovered,Andaman and Nicobar,0
302,22-Jun-20,2020-06-22,Deceased,Andaman and Nicobar,0
303,23-Jun-20,2020-06-23,Confirmed,Andaman and Nicobar,2
304,23-Jun-20,2020-06-23,Recovered,Andaman and Nicobar,3
305,23-Jun-20,2020-06-23,Deceased,Andaman and Nicobar,0
306,24-Jun-20,2020-06-24,Confirmed,Andaman and Nicobar,6
307,24-Jun-20,2020-06-24,Recovered,Andaman and Nicobar,1
308,24-Jun-20,2020-06-24,Deceased,Andaman and Nicobar,0
309,25-Jun-20,2020-06-25,Confirmed,Andaman and Nicobar,2
310,25-Jun-20,2020-06-25,Recovered,Andaman and Nicobar,0
311,25-Jun-20,2020-06-25,Deceased,Andaman and Nicobar,0
312,26-Jun-20,2020-06-26,Confirmed,Andaman and Nicobar,14
313,26-Jun-20,2020-06-26,Recovered,Andaman and Nicobar,2
314,26-Jun-20,2020-06-26,Deceased,Andaman and Nicobar,0
315,27-Jun-20,2020-06-27,Confirmed,Andaman and Nicobar,0
316,27-Jun-20,2020-06-27,Recovered,Andaman and Nicobar,0
317,27-Jun-20,2020-06-27,Deceased,Andaman and Nicobar,0
318,28-Jun-20,2020-06-28,Confirmed,Andaman and Nicobar,11
319,28-Jun-20,2020-06-28,Recovered,Andaman and Nicobar,2
320,28-Jun-20,2020-06-28,Deceased,Andaman and Nicobar,0
321,29-Jun-20,2020-06-29,Confirmed,Andaman and Nicobar,7
322,29-Jun-20,2020-06-29,Recovered,Andaman and Nicobar,0
323,29-Jun-20,2020-06-29,Deceased,Andaman and Nicobar,0
324,30-Jun-20,2020-06-30,Confirmed,Andaman and Nicobar,7
325,30-Jun-20,2020-06-30,Recovered,Andaman and Nicobar,0
326,30-Jun-20,2020-06-30,Deceased,Andaman and Nicobar,0
327,01-Jul-20,2020-07-01,Confirmed,Andaman and Nicobar,3
328,01-Jul-20,2020-07-01,Recovered,Andaman and Nicobar,5
329,01-Jul-20,2020-07-01,Deceased,Andaman and Nicobar,0
330,02-Jul-20,2020-07-02,Confirmed,Andaman and Nicobar,9
331,02-Jul-20,2020-07-02,Recovered,Andaman and Nicobar,1
332,02-Jul-20,2020-07-02,Deceased,Andaman and Nicobar,0
333,03-Jul-20,2020-07-03,Confirmed,Andaman and Nicobar,7
334,03-Jul-20,2020-07-03,Recovered,Andaman and Nicobar,3
335,03-Jul-20,2020-07-03,Deceased,Andaman and Nicobar,0
336,04-Jul-20,2020-07-04,Confirmed,Andaman and Nicobar,3
337,04-Jul-20,2020-07-04,Recovered,Andaman and Nicobar,12
338,04-Jul-20,2020-07-04,Deceased,Andaman and Nicobar,0
339,05-Jul-20,2020-07-05,Confirmed,Andaman and Nicobar,6
340,05-Jul-20,2020-07-05,Recovered,Andaman and Nicobar,6
341,05-Jul-20,2020-07-05,Deceased,Andaman and Nicobar,0
342,06-Jul-20,2020-07-06,Confirmed,Andaman and Nicobar,16
343,06-Jul-20,2020-07-06,Recovered,Andaman and Nicobar,2
344,06-Jul-20,2020-07-06,Deceased,Andaman and Nicobar,0
345,07-Jul-20,2020-07-07,Confirmed,Andaman and Nicobar,6
346,07-Jul-20,2020-07-07,Recovered,Andaman and Nicobar,0
347,07-Jul-20,2020-07-07,Deceased,Andaman and Nicobar,0
348,08-Jul-20,2020-07-08,Confirmed,Andaman and Nicobar,2
349,08-Jul-20,2020-07-08,Recovered,Andaman and Nicobar,0
350,08-Jul-20,2020-07-08,Deceased,Andaman and Nicobar,0
351,09-Jul-20,2020-07-09,Confirmed,Andaman and Nicobar,7
352,09-Jul-20,2020-07-09,Recovered,Andaman and Nicobar,9
353,09-Jul-20,2020-07-09,Deceased,Andaman and Nicobar,0
354,10-Jul-20,2020-07-10,Confirmed,Andaman and Nicobar,0
355,10-Jul-20,2020-07-10,Recovered,Andaman and Nicobar,9
356,10-Jul-20,2020-07-10,Deceased,Andaman and Nicobar,0
357,11-Jul-20,2020-07-11,Confirmed,Andaman and Nicobar,0
358,11-Jul-20,2020-07-11,Recovered,Andaman and Nicobar,0
359,11-Jul-20,2020-07-11,Deceased,Andaman and Nicobar,0
