,Confiremed,Deceased,Recovered,Date,Date_YMD,States,value,Month-Year
194,0.0,0.0,0.0,17-May-20,2020-05-17,Andaman and Nicobar,0,May-2020
195,0.0,0.0,0.0,18-May-20,2020-05-18,Andaman and Nicobar,0,May-2020
196,0.0,0.0,0.0,18-May-20,2020-05-18,Andaman and Nicobar,0,May-2020
197,0.0,0.0,0.0,18-May-20,2020-05-18,Andaman and Nicobar,0,May-2020
198,0.0,0.0,0.0,19-May-20,2020-05-19,Andaman and Nicobar,0,May-2020
199,0.0,0.0,0.0,19-May-20,2020-05-19,Andaman and Nicobar,0,May-2020
200,0.0,0.0,0.0,19-May-20,2020-05-19,Andaman and Nicobar,0,May-2020
201,0.0,0.0,0.0,20-May-20,2020-05-20,Andaman and Nicobar,0,May-2020
202,0.0,0.0,0.0,20-May-20,2020-05-20,Andaman and Nicobar,0,May-2020
203,0.0,0.0,0.0,20-May-20,2020-05-20,Andaman and Nicobar,0,May-2020
204,0.0,0.0,0.0,21-May-20,2020-05-21,Andaman and Nicobar,0,May-2020
205,0.0,0.0,0.0,21-May-20,2020-05-21,Andaman and Nicobar,0,May-2020
206,0.0,0.0,0.0,21-May-20,2020-05-21,Andaman and Nicobar,0,May-2020
207,0.0,0.0,0.0,22-May-20,2020-05-22,Andaman and Nicobar,0,May-2020
208,0.0,0.0,0.0,22-May-20,2020-05-22,Andaman and Nicobar,0,May-2020
209,0.0,0.0,0.0,22-May-20,2020-05-22,Andaman and Nicobar,0,May-2020
210,0.0,0.0,0.0,23-May-20,2020-05-23,Andaman and Nicobar,0,May-2020
211,0.0,0.0,0.0,23-May-20,2020-05-23,Andaman and Nicobar,0,May-2020
212,0.0,0.0,0.0,23-May-20,2020-05-23,Andaman and Nicobar,0,May-2020
213,0.0,0.0,0.0,24-May-20,2020-05-24,Andaman and Nicobar,0,May-2020
214,0.0,0.0,0.0,24-May-20,2020-05-24,Andaman and Nicobar,0,May-2020
215,0.0,0.0,0.0,24-May-20,2020-05-24,Andaman and Nicobar,0,May-2020
216,0.0,0.0,0.0,25-May-20,2020-05-25,Andaman and Nicobar,0,May-2020
217,0.0,0.0,0.0,25-May-20,2020-05-25,Andaman and Nicobar,0,May-2020
218,0.0,0.0,0.0,25-May-20,2020-05-25,Andaman and Nicobar,0,May-2020
219,0.0,0.0,0.0,26-May-20,2020-05-26,Andaman and Nicobar,0,May-2020
220,0.0,0.0,0.0,26-May-20,2020-05-26,Andaman and Nicobar,0,May-2020
221,0.0,0.0,0.0,26-May-20,2020-05-26,Andaman and Nicobar,0,May-2020
222,0.0,0.0,0.0,27-May-20,2020-05-27,Andaman and Nicobar,0,May-2020
223,0.0,0.0,0.0,27-May-20,2020-05-27,Andaman and Nicobar,0,May-2020
224,0.0,0.0,0.0,27-May-20,2020-05-27,Andaman and Nicobar,0,May-2020
225,0.0,0.0,0.0,28-May-20,2020-05-28,Andaman and Nicobar,0,May-2020
226,0.0,0.0,0.0,28-May-20,2020-05-28,Andaman and Nicobar,0,May-2020
227,0.0,0.0,0.0,28-May-20,2020-05-28,Andaman and Nicobar,0,May-2020
228,0.0,0.0,0.0,29-May-20,2020-05-29,Andaman and Nicobar,0,May-2020
229,0.0,0.0,0.0,29-May-20,2020-05-29,Andaman and Nicobar,0,May-2020
230,0.0,0.0,0.0,29-May-20,2020-05-29,Andaman and Nicobar,0,May-2020
231,0.0,0.0,0.0,30-May-20,2020-05-30,Andaman and Nicobar,0,May-2020
232,0.0,0.0,0.0,30-May-20,2020-05-30,Andaman and Nicobar,0,May-2020
233,0.0,0.0,0.0,30-May-20,2020-05-30,Andaman and Nicobar,0,May-2020
234,0.0,0.0,0.0,31-May-20,2020-05-31,Andaman and Nicobar,0,May-2020
235,0.0,0.0,0.0,31-May-20,2020-05-31,Andaman and Nicobar,0,May-2020
236,0.0,0.0,0.0,31-May-20,2020-05-31,Andaman and Nicobar,0,May-2020
237,0.0,0.0,0.0,01-Jun-20,2020-06-01,Andaman and Nicobar,0,Jun-2020
238,0.0,0.0,0.0,01-Jun-20,2020-06-01,Andaman and Nicobar,0,Jun-2020
239,0.0,0.0,0.0,01-Jun-20,2020-06-01,Andaman and Nicobar,0,Jun-2020
240,0.0,0.0,0.0,02-Jun-20,2020-06-02,Andaman and Nicobar,0,Jun-2020
241,0.0,0.0,0.0,02-Jun-20,2020-06-02,Andaman and Nicobar,0,Jun-2020
242,0.0,0.0,0.0,02-Jun-20,2020-06-02,Andaman and Nicobar,0,Jun-2020
243,0.0,0.0,0.0,03-Jun-20,2020-06-03,Andaman and Nicobar,0,Jun-2020
244,0.0,0.0,0.0,03-Jun-20,2020-06-03,Andaman and Nicobar,0,Jun-2020
245,0.0,0.0,0.0,03-Jun-20,2020-06-03,Andaman and Nicobar,0,Jun-2020
246,0.0,0.0,0.0,04-Jun-20,2020-06-04,Andaman and Nicobar,0,Jun-2020
247,0.0,0.0,0.0,04-Jun-20,2020-06-04,Andaman and Nicobar,0,Jun-2020
248,0.0,0.0,0.0,04-Jun-20,2020-06-04,Andaman and Nicobar,0,Jun-2020
249,0.0,0.0,0.0,05-Jun-20,2020-06-05,Andaman and Nicobar,0,Jun-2020
250,0.0,0.0,0.0,05-Jun-20,2020-06-05,Andaman and Nicobar,0,Jun-2020
251,0.0,0.0,0.0,05-Jun-20,2020-06-05,Andaman and Nicobar,0,Jun-2020
252,0.0,0.0,0.0,06-Jun-20,2020-06-06,Andaman and Nicobar,0,Jun-2020
253,0.0,0.0,0.0,06-Jun-20,2020-06-06,Andaman and Nicobar,0,Jun-2020
254,0.0,0.0,0.0,06-Jun-20,2020-06-06,Andaman and Nicobar,0,Jun-2020
255,0.0,0.0,0.0,07-Jun-20,2020-06-07,Andaman and Nicobar,0,Jun-2020
256,0.0,0.0,0.0,07-Jun-20,2020-06-07,Andaman and Nicobar,0,Jun-2020
257,0.0,0.0,0.0,07-Jun-20,2020-06-07,Andaman and Nicobar,0,Jun-2020
258,0.0,0.0,0.0,08-Jun-20,2020-06-08,Andaman and Nicobar,0,Jun-2020
259,0.0,0.0,0.0,08-Jun-20,2020-06-08,Andaman and Nicobar,0,Jun-2020
260,0.0,0.0,0.0,08-Jun-20,2020-06-08,Andaman and Nicobar,0,Jun-2020
261,1.0,0.0,0.0,09-Jun-20,2020-06-09,Andaman and Nicobar,1,Jun-2020
262,0.0,0.0,0.0,09-Jun-20,2020-06-09,Andaman and Nicobar,0,Jun-2020
263,0.0,0.0,0.0,09-Jun-20,2020-06-09,Andaman and Nicobar,0,Jun-2020
264,1.0,0.0,0.0,10-Jun-20,2020-06-10,Andaman and Nicobar,1,Jun-2020
265,0.0,0.0,0.0,10-Jun-20,2020-06-10,Andaman and Nicobar,0,Jun-2020
266,0.0,0.0,0.0,10-Jun-20,2020-06-10,Andaman and Nicobar,0,Jun-2020
267,3.0,0.0,0.0,11-Jun-20,2020-06-11,Andaman and Nicobar,3,Jun-2020
268,0.0,0.0,0.0,11-Jun-20,2020-06-11,Andaman and Nicobar,0,Jun-2020
269,0.0,0.0,0.0,11-Jun-20,2020-06-11,Andaman and Nicobar,0,Jun-2020
270,0.0,0.0,0.0,12-Jun-20,2020-06-12,Andaman and Nicobar,0,Jun-2020
271,0.0,0.0,0.0,12-Jun-20,2020-06-12,Andaman and Nicobar,0,Jun-2020
272,0.0,0.0,0.0,12-Jun-20,2020-06-12,Andaman and Nicobar,0,Jun-2020
273,0.0,0.0,0.0,13-Jun-20,2020-06-13,Andaman and Nicobar,0,Jun-2020
274,0.0,0.0,0.0,13-Jun-20,2020-06-13,Andaman and Nicobar,0,Jun-2020
275,0.0,0.0,0.0,13-Jun-20,2020-06-13,Andaman and Nicobar,0,Jun-2020
276,2.0,0.0,0.0,14-Jun-20,2020-06-14,Andaman and Nicobar,2,Jun-2020
277,0.0,0.0,0.0,14-Jun-20,2020-06-14,Andaman and Nicobar,0,Jun-2020
278,0.0,0.0,0.0,14-Jun-20,2020-06-14,Andaman and Nicobar,0,Jun-2020
279,1.0,0.0,0.0,15-Jun-20,2020-06-15,Andaman and Nicobar,1,Jun-2020
280,0.0,0.0,0.0,15-Jun-20,2020-06-15,Andaman and Nicobar,0,Jun-2020
281,0.0,0.0,0.0,15-Jun-20,2020-06-15,Andaman and Nicobar,0,Jun-2020
282,3.0,0.0,0.0,16-Jun-20,2020-06-16,Andaman and Nicobar,3,Jun-2020
283,0.0,0.0,0.0,16-Jun-20,2020-06-16,Andaman and Nicobar,0,Jun-2020
284,0.0,0.0,0.0,16-Jun-20,2020-06-16,Andaman and Nicobar,0,Jun-2020
285,0.0,0.0,0.0,17-Jun-20,2020-06-17,Andaman and Nicobar,0,Jun-2020
286,0.0,0.0,0.0,17-Jun-20,2020-06-17,Andaman and Nicobar,0,Jun-2020
287,0.0,0.0,0.0,17-Jun-20,2020-06-17,Andaman and Nicobar,0,Jun-2020
288,1.0,0.0,0.0,18-Jun-20,2020-06-18,Andaman and Nicobar,1,Jun-2020
289,0.0,0.0,2.0,18-Jun-20,2020-06-18,Andaman and Nicobar,2,Jun-2020
